"Country","Region","ISO","CaseStudyUsed","CaseStudyDirect","CountryCaseStudy"
"Armenia","USSR","ARM","USSRasia","USSRasia","NA"
"Afghanistan","ASIA","AFG","USSRasia","USSRasia","NA"
"Albania","EUROPE","ALB","USSReurope","USSReurope","NA"
"Algeria","WANA","DZA","WANA","WANA","NA"
"Angola","AFRICA, SUB-SAHARA","AGO","SSA","SSA","NA"
"Argentina","AMERICA, LAC","ARG","BRA","NA","NA"
"Australia","OCEANIA","AUS","AUS","AUS","AUS"
"Austria","EUROPE","AUT","RestOfEurope","RestOfEurope","NA"
"Bahamas","AMERICA, LAC","BHS","MEX","NA","NA"
"Bahrain","WANA","BHR","WANA","WANA","NA"
"Bangladesh","ASIA","BGD","SSA","SSA","NA"
"Bhutan","ASIA","BTN","IND","NA","NA"
"Bolivia (Plurinational State of)","AMERICA, LAC","BOL","BRA","NA","NA"
"Botswana","AFRICA, SUB-SAHARA","BWA","SSA","SSA","NA"
"Brazil","AMERICA, LAC","BRA","BRA","BRA","BRA"
"Belize","AMERICA, LAC","BLZ","MEX","NA","NA"
"Solomon Islands","ASIA","SLB","IDN","NA","NA"
"Brunei Darussalam","ASIA","BRN","IDN","NA","NA"
"Bulgaria","EUROPE","BGR","USSReurope","USSReurope","NA"
"Myanmar","ASIA","MMR","IDN","NA","NA"
"Burundi","AFRICA, SUB-SAHARA","BDI","SSA","SSA","NA"
"Cameroon","AFRICA, SUB-SAHARA","CMR","SSA","SSA","NA"
"Canada","AMERICA, NORTH","CAN","CAN","CAN","CAN"
"Cabo Verde","AFRICA, SUB-SAHARA","CPV","SSA","SSA","NA"
"Central African Republic","AFRICA, SUB-SAHARA","CAF","SSA","SSA","NA"
"Sri Lanka","ASIA","LKA","IND","NA","NA"
"Chad","AFRICA, SUB-SAHARA","TCD","SSA","SSA","NA"
"Chile","AMERICA, LAC","CHL","BRA","NA","NA"
"Colombia","AMERICA, LAC","COL","BRA","NA","NA"
"Comoros","AFRICA, SUB-SAHARA","COM","SSA","SSA","NA"
"Congo","AFRICA, SUB-SAHARA","COG","SSA","SSA","NA"
"Costa Rica","AMERICA, LAC","CRI","MEX","NA","NA"
"Cuba","AMERICA, LAC","CUB","MEX","NA","NA"
"Cyprus","EUROPE","CYP","WANA","WANA","NA"
"Azerbaijan","USSR","AZE","USSRasia","USSRasia","NA"
"Benin","AFRICA, SUB-SAHARA","BEN","SSA","SSA","NA"
"Denmark","EUROPE","DNK","RestOfEurope","RestOfEurope","NA"
"Dominican Republic","AMERICA, LAC","DOM","MEX","NA","NA"
"Belarus","USSR","BLR","USSReuropeNew","USSReuropeNew","NA"
"Ecuador","AMERICA, LAC","ECU","BRA","NA","NA"
"Egypt","WANA","EGY","WANA","WANA","NA"
"El Salvador","AMERICA, LAC","SLV","MEX","NA","NA"
"Equatorial Guinea","AFRICA, SUB-SAHARA","GNQ","SSA","SSA","NA"
"Estonia","USSR","EST","USSReurope","USSReurope","NA"
"Fiji","ASIA","FJI","IDN","NA","NA"
"Finland","EUROPE","FIN","Scandinavia","Scandinavia","NA"
"France","EUROPE","FRA","RestOfEurope","RestOfEurope","NA"
"French Guyana","AMERICA, LAC","GUF","MEX","NA","NA"
"Djibouti","AFRICA, SUB-SAHARA","DJI","SSA","SSA","NA"
"Georgia","USSR","GEO","USSRasia","USSRasia","NA"
"Gabon","AFRICA, SUB-SAHARA","GAB","SSA","SSA","NA"
"Gambia","AFRICA, SUB-SAHARA","GMB","SSA","SSA","NA"
"Germany","EUROPE","DEU","RestOfEurope","RestOfEurope","NA"
"Bosnia and Herzegovina","EUROPE","BIH","USSReurope","USSReurope","NA"
"Ghana","AFRICA, SUB-SAHARA","GHA","SSA","SSA","NA"
"Greece","EUROPE","GRC","SouthernEurope","SouthernEurope","NA"
"Guatemala","AMERICA, LAC","GTM","MEX","NA","NA"
"Guinea","AFRICA, SUB-SAHARA","GIN","SSA","SSA","NA"
"Guyana","AMERICA, LAC","GUY","MEX","NA","NA"
"Haiti","AMERICA, LAC","HTI","MEX","NA","NA"
"Honduras","AMERICA, LAC","HND","MEX","NA","NA"
"Hungary","EUROPE","HUN","USSReurope","USSReurope","NA"
"Croatia","EUROPE","HRV","USSReurope","USSReurope","NA"
"Iceland","EUROPE","ISL","Scandinavia","Scandinavia","NA"
"India","ASIA","IND","IND","IND","IND"
"Indonesia","ASIA","IDN","IDN","IDN","IDN"
"Iran (Islamic Republic of)","WANA","IRN","WANA","WANA","NA"
"Iraq","WANA","IRQ","WANA","WANA","NA"
"Ireland","EUROPE","IRL","IRL","IRL","IRL"
"Israel","WANA","ISR","WANA","WANA","NA"
"Italy","EUROPE","ITA","SouthernEurope","SouthernEurope","NA"
"Côte d'Ivoire","AFRICA, SUB-SAHARA","CIV","SSA","SSA","NA"
